file,line,function,current_catch,classification,narrowed_to,rationale
proxywhirl/fetchers.py,451,PlainTextParser.parse,Exception,defensive-after-typed-except,"ValueError, TypeError","_validate_proxy_url only raises ProxyFetchError (already handled above); remaining catch is for unexpected parse bugs in parse_proxy_url callers"
proxywhirl/fetchers.py,1244,ProxyValidator.validate,swallow-no-log,"httpx.HTTPError, OSError, TimeoutError","matches existing sibling pattern at lines 1450-1459 in same file; add debug log before swallowing"
proxywhirl/fetchers.py,1317,ProxyValidator.validate_batch,log-and-continue,"httpx.HTTPError, OSError, TimeoutError, ProxyFetchError","validate() no longer raises broad Exception after L1244 fix; keep ProxyFetchError for defensive completeness"
proxywhirl/fetchers.py,1459,ProxyValidator._validate_socks (other_error_count bucket),swallow-no-log,"httpx.HTTPError, OSError, RuntimeError","final bucket after TimeoutException/ConnectError/ProxyError/OSError/HTTPStatusError already handled; add debug log"
proxywhirl/fetchers.py,1910,ProxyFetcher.fetch_from_source,convert-to-domain-error,"ProxyFetchError, ProxyValidationError, ValueError, TypeError, KeyError","boundary wraps parser.parse() output (JSON/CSV/HTML/custom parsers); narrowed to parsing-error taxonomy instead of bare Exception"
proxywhirl/fetchers.py,1986,ProxyFetcher.fetch_all.fetch_with_progress,log-and-continue,"ProxyFetchError, httpx.HTTPError","fetch_from_source uses tenacity reraise=True so only ProxyFetchError or httpx.HTTPError (TimeoutException/HTTPStatusError) can propagate after the L1910 fix"
proxywhirl/storage.py,57,_decrypt_stored_credential,log-and-return-None,ValueError,"CredentialEncryptor() (proxywhirl/cache/crypto.py) only raises ValueError on invalid Fernet key"
proxywhirl/storage.py,69,_decrypt_stored_credential,log-and-return-None,ValueError,"encryptor.decrypt() raises ValueError; base64.b64decode raises binascii.Error which subclasses ValueError"
proxywhirl/storage.py,395,FileStorage.save,convert-to-domain-error,OSError,"try block only performs aiofiles write/flush and Path.replace, all OSError-raising filesystem operations"
proxywhirl/storage.py,460,FileStorage.load,convert-to-domain-error,"ValueError, TypeError","after InvalidToken/JSONDecodeError handled above, remaining risk is Proxy.model_validate() (pydantic ValidationError subclasses ValueError) and str.decode (UnicodeDecodeError subclasses ValueError)"
proxywhirl/storage.py,487,FileStorage.clear,convert-to-domain-error,OSError,"try block only calls Path.unlink(), an OSError-raising filesystem operation"
proxywhirl/storage.py,604,SQLiteStorage._init_encryptor,log-and-disable,ValueError,"CredentialEncryptor() only raises ValueError on invalid Fernet key"
proxywhirl/storage.py,652,SQLiteStorage._encrypt_credential,log-and-fallback,ValueError,"self._encryptor.encrypt() raises ValueError on encryption failure"
